时间,价格(usd),成交额,市值
"2021-09-18 00:00","1.0005355666","11711274.4349778760","6601644142.5583190918",
"2021-09-17 00:00","1.0007220023","16683779.5694887191","6583005550.5819826126",
"2021-09-16 00:00","1.0019266960","13599046.8646748308","6588583859.5564889908",
"2021-09-15 00:00","1.0004369970","11266187.9370953925","6544907443.8228950500",
"2021-09-14 00:00","1.0009179489","9909476.1795670185","6560129189.4303007126",
"2021-09-13 00:00","1.0015124429","17209975.9268519320","6572591014.1895837784",
"2021-09-12 00:00","1.0015492444","8754671.6193910614","6571710555.7088518143",
"2021-09-11 00:00","1.0003597312","14283620.4551023915","6464998166.1959123611",
"2021-09-10 00:00","1.0012040519","19057880.6927042082","6505705039.5026273727",
"2021-09-09 00:00","1.0019016655","20376837.7847696654","6516718092.3428554535",
"2021-09-08 00:00","1.0008348323","42179739.4564474821","6508735157.0838003159",
"2021-09-07 00:00","0.9995744299","36429469.0835761130","6505743399.9649200439",
"2021-09-06 00:00","1.0003918857","14804917.5601654723","6443170134.8677520752",
"2021-09-05 00:00","1.0000426739","9956652.5760615394","6425031448.6948852539",
"2021-09-04 00:00","1.0002007088","12199271.9074049089","6405405886.8149757385",
"2021-09-03 00:00","1.0002809548","14476592.3613479938","6356711015.8824758530",
"2021-09-02 00:00","1.0006144373","20073092.4609128758","6175459961.2725591660",
"2021-09-01 00:00","1.0007812734","13882059.2108894307","6149908957.1427803040",
"2021-08-31 00:00","1.0014114923","15048267.6893755738","6131808804.3836221695",
"2021-08-30 00:00","1.0010809912","12927190.5866552349","6124786899.5166120529",
"2021-08-29 00:00","1.0013212955","8342592.1798653966","6116008550.6918811798",
"2021-08-28 00:00","1.0011974485","10224594.0003834050","6109614561.7630558014",
"2021-08-27 00:00","1.0010372079","10894228.7340222765","6067255879.5431842804",
"2021-08-26 00:00","1.0008064224","12406663.1922843233","6064125631.5667295456",
"2021-08-25 00:00","1.0001815638","15413156.3365209289","6057503328.6235513687",
"2021-08-24 00:00","1.0025562871","17849842.7022837214","6084468328.8220796585",
"2021-08-23 00:00","1.0003846296","17764703.0165243074","6066292623.0279655457",
"2021-08-22 00:00","1.0007833921","9167311.1621416062","6057837748.4716348648",
